temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 34, Sec: 51
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 50, Sec: 39
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 51, Sec: 05
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 51, Sec: 32
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 51, Sec: 58
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 52, Sec: 25
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 52, Sec: 51
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 53, Sec: 18
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 53, Sec: 44
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 20, Min: 07, Sec: 01
temperature: 18, humidity: 39, moisture: 4, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 34, Sec: 06
temperature: 18, humidity: 40, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 34, Sec: 31
temperature: 22, humidity: 30, moisture: 4, water: 1, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 56, Sec: 03
temperature: 22, humidity: 31, moisture: 11, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 56, Sec: 29
temperature: 22, humidity: 30, moisture: 91, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 56, Sec: 46
temperature: 22, humidity: 30, moisture: 89, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 57, Sec: 02
temperature: 22, humidity: 30, moisture: 93, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 57, Sec: 31
temperature: 22, humidity: 30, moisture: 92, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 57, Sec: 45
temperature: 22, humidity: 30, moisture: 9, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 58, Sec: 12
temperature: 22, humidity: 30, moisture: 91, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 58, Sec: 28
temperature: 22, humidity: 30, moisture: 10, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 58, Sec: 55
temperature: 22, humidity: 30, moisture: 10, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 59, Sec: 21
temperature: 22, humidity: 30, moisture: 11, water: 0, Year: 2018, Month: 12, Day: 06, Hour: 07, Min: 59, Sec: 48
